id,screen_area,feature,user_story,expected_behaviour,source_refs,status,test_method,test_result,error_type,error_detail,fix_summary,fix_refs,retest_result
BRD01,Board,Kanban columns,"As a planner, I want tasks grouped into Scope/Todo/In Progress/Done/Backlog, so that I see workflow state at a glance.","5 columns render in fixed order with dot color, label, live count, add button; tasks grouped by status; static set so no 'no columns' case.",board-utils.ts:8-28;Board.tsx:216-229;BoardColumn.tsx:53-85,tested,code-trace of cited path:line,pass,none,,,,
BRD02,Board,Column empty state,"As a user, I want a helpful message when a column has no tasks, so that empty columns aren't confusing.",Each status shows bespoke empty copy in a dashed placeholder; but the inline Add-task button only renders for non-empty columns (empty column shows only the header +).,"BoardColumn.tsx:20-32,88-124",tested,code-trace of cited path:line,pass,none,,,,
BRD03,Board,Board loading state,"As a user, I want feedback while the board loads, so that I know it's working.",Real user expects a skeleton of the columns; today the whole board is blocked on a single bare 'Loading board…' text until both project+tasks queries resolve.,projects.$id.board.tsx:16-18,error,code-trace of cited path:line,fail,ux:states-are-features,"Whole board blocks on bare ""Loading board…"" text; no column skeleton",,,
BRD04,Board,Board error / not-found,"As a user, I want to know when the board fails to load, so that I'm not staring at a blank screen.",Error should be human and recoverable; today it renders role=alert with raw error.message and no retry; project undefined → 'Project not found.',projects.$id.board.tsx:20-30,error,code-trace of cited path:line,fail,ux:you-are-not-the-user,Load error shows raw error.message with no retry action,,,
BRD05,Board,Add task (open dialog),"As a planner, I want to add a task to a specific column, so that I capture work in the right state.",Header + and bottom Add-task both open the create dialog pre-seeded to that column.,"BoardColumn.tsx:73-124;Board.tsx:226,259-267",tested,code-trace of cited path:line,pass,none,,,,
BRD06,Board,Create task,"As a planner, I want to name a task and set status+lane, so that it lands on the board correctly.",Dialog with label/status/lane; create disabled while empty/creating; success toast+close; a real user needs an error message if create fails and jargon-free lane help — today create has no onError (silent fail) and lane copy is factory jargon.,"Board.tsx:131-142,314-411;queries.ts:146-154",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Create-task has no onError; on failure dialog silently re-enables,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
BRD07,Board,Open task drawer,"As a user, I want to click a card to see details, so that I can read/edit it.",Card click opens a right sheet; 6px move tolerance disambiguates drag vs click; also via card … → Open.,"TaskCard.tsx:32,44-105;Board.tsx:69,238-257",tested,code-trace of cited path:line,pass,none,,,,
BRD08,Board,Drag card between columns,"As a planner, I want to drag a card to another column, so that I change status by moving it.","Pointer/keyboard drag patches status with optimistic update to tasks+canvas, success toast, rollback on error; same-column drop is a no-op; rollback is silent (no error toast).","useBoardDnd.ts:20-73;Board.tsx:85-88,201-236",tested,code-trace of cited path:line,pass,none,,,,
BRD09,Board,Change status via chip menu,"As a user, I want to click a status chip and pick a new status, so that I restage without dragging.","Chip dropdown lists all 5 statuses and patches on select; a real user expects the same instant feedback+failure signal as drag, but this path has no optimistic update and is silent on failure (inconsistent with drag).","StatusChip.tsx:51-97;TaskCard.tsx:138;TaskDrawer.tsx:143,198;Board.tsx:101-106",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Status-chip change is non-optimistic and silent on failure (inconsistent with drag),Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
BRD10,Board,Card … actions menu,"As a user, I want per-card actions, so that I manage a task without opening it.",Open / Move-to / Delete should be reachable by everyone; today the … trigger is hover-only (opacity-0 → group-hover) so it is invisible on touch and to keyboard users.,TaskCard.tsx:80-132,error,code-trace of cited path:line,fail,ux:hidden-affordance,Card … actions are hover-only (opacity-0→group-hover); invisible on touch/keyboard,,,
